province_code,forecast_year,forecast_month,rainfall_mm,n_runs,province,region_en,season,quarter
58,2024,4,4.642983641,4,แม่ฮ่องสอน,North,Hot,Q2
60,2024,4,24.70236911,4,นครสวรรค์,Central,Hot,Q2
61,2024,4,20.15394038,4,อุทัยธานี,Central,Hot,Q2
62,2024,4,9.291563757,4,กำแพงเพชร,North,Hot,Q2
63,2024,4,5.429882736,4,ตาก,North,Hot,Q2
64,2024,4,3.313579245,4,สุโขทัย,North,Hot,Q2
65,2024,4,19.08143606,4,พิษณุโลก,North,Hot,Q2
66,2024,4,25.39346302,4,พิจิตร,North,Hot,Q2
67,2024,4,62.40994829,4,เพชรบูรณ์,North,Hot,Q2
70,2024,4,13.46631809,4,ราชบุรี,Central,Hot,Q2
71,2024,4,14.1090918,4,กาญจนบุรี,Central,Hot,Q2
72,2024,4,23.42384954,4,สุพรรณบุรี,Central,Hot,Q2
73,2024,4,11.31323085,4,นครปฐม,Central,Hot,Q2
74,2024,4,3.40669434,4,สมุทรสาคร,Central,Hot,Q2
75,2024,4,4.961391311,4,สมุทรสงคราม,Central,Hot,Q2
76,2024,4,9.114840407,4,เพชรบุรี,South,Hot,Q2
77,2024,4,8.629022881,4,ประจวบคีรีขันธ์,South,Hot,Q2
80,2024,4,57.55060265,4,นครศรีธรรมราช,South,Hot,Q2
81,2024,4,125.5707306,4,กระบี่,South,Hot,Q2
82,2024,4,144.2607575,4,พังงา,South,Hot,Q2
83,2024,4,166.6249775,4,ภูเก็ต,South,Hot,Q2
84,2024,4,48.7299582,4,สุราษฎร์ธานี,South,Hot,Q2
85,2024,4,77.59936658,4,ระนอง,South,Hot,Q2
86,2024,4,33.00256723,4,ชุมพร,South,Hot,Q2
90,2024,4,60.14298593,4,สงขลา,South,Hot,Q2
91,2024,4,73.64052112,4,สตูล,South,Hot,Q2
92,2024,4,139.8163898,4,ตรัง,South,Hot,Q2
93,2024,4,95.33054021,4,พัทลุง,South,Hot,Q2
94,2024,4,54.2219205,4,ปัตตานี,South,Hot,Q2
95,2024,4,54.78980259,4,ยะลา,South,Hot,Q2
96,2024,4,43.97722981,4,นราธิวาส,South,Hot,Q2
10,2024,5,132.0759054,5,กรุงเทพมหานคร,Central,Hot,Q2
11,2024,5,158.6043965,5,สมุทรปราการ,Central,Hot,Q2
12,2024,5,117.7272608,5,นนทบุรี,Central,Hot,Q2
13,2024,5,113.19378550000002,5,ปทุมธานี,Central,Hot,Q2
14,2024,5,130.0076432,5,พระนครศรีอยุธยา,Central,Hot,Q2
15,2024,5,153.4461844,5,อ่างทอง,Central,Hot,Q2
16,2024,5,141.2615018,5,ลพบุรี,Central,Hot,Q2
17,2024,5,164.5889195,5,สิงห์บุรี,Central,Hot,Q2
18,2024,5,182.7445179,5,ชัยนาท,Central,Hot,Q2
19,2024,5,153.8330211,5,สระบุรี,Central,Hot,Q2
20,2024,5,183.240192,5,ชลบุรี,East,Hot,Q2
21,2024,5,209.5895675,5,ระยอง,East,Hot,Q2
22,2024,5,284.5723322,5,จันทบุรี,East,Hot,Q2
23,2024,5,309.4261108,5,ตราด,East,Hot,Q2
24,2024,5,183.3932345,5,ฉะเชิงเทรา,East,Hot,Q2
25,2024,5,197.2238556,5,ปราจีนบุรี,East,Hot,Q2
26,2024,5,169.6467633,5,นครนายก,East,Hot,Q2
27,2024,5,149.5841387,5,สระแก้ว,East,Hot,Q2
30,2024,5,150.3515528,5,นครราชสีมา,Northeast,Hot,Q2
31,2024,5,133.0126402,5,บุรีรัมย์,Northeast,Hot,Q2
32,2024,5,151.0683984,5,สุรินทร์,Northeast,Hot,Q2
33,2024,5,153.0801249,5,ศรีสะเกษ,Northeast,Hot,Q2
34,2024,5,163.5148705,5,อุบลราชธานี,Northeast,Hot,Q2
35,2024,5,158.712182,5,ยโสธร,Northeast,Hot,Q2
36,2024,5,143.0469458,5,ชัยภูมิ,Northeast,Hot,Q2
37,2024,5,180.5356852,5,อำนาจเจริญ,Northeast,Hot,Q2
38,2024,5,177.05939,5,บึงกาฬ,Northeast,Hot,Q2
39,2024,5,151.7402299,5,หนองบัวลำภู,Northeast,Hot,Q2
40,2024,5,101.5831181,5,ขอนแก่น,Northeast,Hot,Q2
41,2024,5,174.3253569,5,อุดรธานี,Northeast,Hot,Q2
42,2024,5,152.5151128,5,เลย,Northeast,Hot,Q2
43,2024,5,178.2087692,5,หนองคาย,Northeast,Hot,Q2
44,2024,5,98.54978397,5,มหาสารคาม,Northeast,Hot,Q2
45,2024,5,110.18193979999998,5,ร้อยเอ็ด,Northeast,Hot,Q2
46,2024,5,108.3550145,5,กาฬสินธุ์,Northeast,Hot,Q2
