year,province,events,districts_affected,subdistricts_affected,villages_affected,affected_people,affected_households,evacuated_people,evacuated_households,deaths,missing,injured,housing_units,business_sites,agriculture_rai,livestock_head,fisheries_units,transport_sites,infrastructure_sites,total_damage_thb,province_code,region_en
2020,ราชบุรี,22.0,8.0,86.0,501.0,10360.0,3308.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5461.0,1.0,171.0,134.0,9.0,,70,Central
2020,ลพบุรี,12.0,7.0,32.0,140.0,947.0,535.0,0.0,0.0,0.0,0.0,0.0,218.0,0.0,2043.0,0.0,100.0,0.0,0.0,,16,Central
2020,ลำปาง,61.0,12.0,123.0,453.0,22174.0,8912.0,0.0,0.0,2.0,0.0,0.0,1636.0,0.0,3872.0,1210.0,99.0,119.0,195.0,,52,North
2020,ลำพูน,11.0,4.0,13.0,47.0,3637.0,2447.0,6.0,3.0,0.0,0.0,0.0,2.0,0.0,2242.0,2.0,12.0,31.0,27.0,,51,North
2020,ศรีสะเกษ,17.0,11.0,55.0,227.0,13499.0,13764.0,0.0,0.0,1.0,0.0,0.0,149.0,0.0,5349.0,0.0,11.0,141.0,15.0,,33,Northeast
2020,สงขลา,50.0,15.0,154.0,738.0,1203.0,365.0,43.0,13.0,0.0,0.0,0.0,226.0,0.0,2874.0,0.0,8.0,11.0,0.0,,90,South
2020,สตูล,14.0,6.0,23.0,105.0,18295.0,5136.0,0.0,0.0,0.0,0.0,0.0,5136.0,0.0,964.0,400.0,9.0,1.0,3.0,,91,South
2020,สมุทรสงคราม,4.0,3.0,20.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,75,Central
2020,สมุทรสาคร,2.0,1.0,11.0,53.0,3000.0,800.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,74,Central
2020,สระบุรี,15.0,5.0,15.0,29.0,325.0,130.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,521.0,0.0,5.0,4.0,4.0,,19,Central
2020,สระแก้ว,21.0,9.0,88.0,621.0,151884.0,47351.0,0.0,0.0,1.0,0.0,0.0,12161.0,0.0,4573.0,0.0,156.0,294.0,38.0,,27,East
2020,สิงห์บุรี,5.0,5.0,17.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17,Central
2020,สุพรรณบุรี,32.0,8.0,64.0,365.0,10870.0,16797.0,0.0,0.0,0.0,0.0,0.0,35446.0,0.0,36017.0,400.0,382.0,29.0,4.0,,72,Central
2020,สุราษฎร์ธานี,71.0,17.0,210.0,1204.0,120254.0,35631.0,0.0,0.0,1.0,0.0,0.0,1616.0,0.0,98480.0,1401.0,56.0,286.0,21.0,,84,South
2020,สุรินทร์,44.0,11.0,85.0,329.0,5924.0,9980.0,0.0,0.0,0.0,0.0,0.0,307.0,0.0,65297.0,0.0,71.0,103.0,21.0,,32,Northeast
2020,สุโขทัย,28.0,7.0,83.0,231.0,29759.0,11281.0,10.0,2.0,1.0,0.0,0.0,95.0,0.0,66163.0,27664.0,41.0,60.0,7.0,,64,North
2020,หนองบัวลำภู,9.0,4.0,37.0,213.0,3788.0,6233.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32939.0,0.0,633.0,2.0,0.0,,39,Northeast
2020,อุดรธานี,7.0,5.0,23.0,123.0,3732.0,1668.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,5476.0,0.0,409.0,40.0,6.0,,41,Northeast
2020,อุตรดิตถ์,34.0,9.0,91.0,356.0,15225.0,5019.0,0.0,0.0,2.0,0.0,1.0,1883.0,0.0,12300.0,773.0,83.0,90.0,34.0,,53,North
2020,อุทัยธานี,12.0,5.0,29.0,202.0,6051.0,3312.0,0.0,0.0,0.0,0.0,0.0,235.0,0.0,57709.0,0.0,101.0,1.0,0.0,,61,Central
2020,อุบลราชธานี,14.0,9.0,23.0,101.0,736.0,644.0,36.0,0.0,0.0,0.0,0.0,73.0,0.0,11261.0,0.0,0.0,18.0,6.0,,34,Northeast
2020,เชียงราย,9.0,7.0,19.0,119.0,845.0,532.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,241.0,50.0,2.0,9.0,35.0,,57,North
2020,เชียงใหม่,125.0,23.0,203.0,1157.0,419651.0,146743.0,0.0,0.0,0.0,0.0,0.0,2255.0,0.0,11395.0,624.0,179.0,881.0,130.0,,50,North
2020,เพชรบุรี,14.0,5.0,23.0,122.0,1793.0,671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10933.0,0.0,0.0,3.0,1.0,,76,South
2020,เพชรบูรณ์,10.0,8.0,37.0,293.0,1842.0,512.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,18652.0,40.0,155.0,234.0,20.0,,67,North
2020,เลย,16.0,8.0,25.0,157.0,2478.0,891.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,1375.0,0.0,5.0,3.0,0.0,,42,Northeast
2020,แพร่,60.0,8.0,173.0,894.0,35561.0,16467.0,0.0,0.0,0.0,0.0,0.0,6995.0,0.0,22960.0,1672.0,458.0,115.0,74.0,,54,North
2020,แม่ฮ่องสอน,32.0,7.0,113.0,693.0,324290.0,119140.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,6474.0,108.0,63.0,976.0,764.0,,58,North
