GEOCODE,TAMBON_E,AMPHOE_E,PROV_E,REGION_E,MAX_SEVERITY_LABEL,N_FLASHFLOOD,N_FLOOD,N_ATRISK_RECORDS,N_TOTAL_RECORDS,FRAC_ATRISK,N_ISSUES_FLAGGED,ISSUES_FLAGGED,TARGET_MONTHS
841106,Pak Chalui,Tha Chang District,Surat Thani,southeast,flashflood,25,0,25,180,0.139,17,"202406, 202407, 202408, 202409, 202410, 202411, 202412, 202501, 202502, 202504, 202507, 202508, 202509, 202510, 202511, 202512, 202606","2024-11, 2024-12, 2025-01, 2025-05, 2025-11, 2025-12, 2026-11"
850103,Ngao,Mueang Ranong District,Ranong,southwest,flashflood,25,0,25,180,0.139,19,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202410, 202506, 202507, 202508, 202509, 202510, 202601, 202602, 202603, 202604, 202605, 202606","2024-07, 2024-08, 2024-11, 2025-07, 2025-11, 2026-06, 2026-07"
860503,Suan Taeng,Lamae District,Chumphon,southeast,flashflood,25,0,25,180,0.139,15,"202401, 202406, 202407, 202408, 202409, 202410, 202411, 202412, 202501, 202507, 202508, 202509, 202510, 202511, 202512","2024-01, 2024-11, 2024-12, 2025-01, 2025-12"
900305,Na Wa,Chanae District,Songkhla,southeast,flashflood,25,0,25,180,0.139,15,"202401, 202406, 202407, 202408, 202409, 202410, 202411, 202412, 202501, 202507, 202508, 202509, 202510, 202511, 202512","2024-01, 2024-11, 2024-12, 2025-01, 2025-12"
901204,Khlong Rang,Na Mom District,Songkhla,southeast,flashflood,25,0,25,180,0.139,15,"202401, 202406, 202407, 202408, 202409, 202410, 202411, 202412, 202501, 202507, 202508, 202509, 202510, 202511, 202512","2024-01, 2024-11, 2024-12, 2025-01, 2025-12"
910601,Thung Wa,Thung Wa District,Satun,southwest,flashflood,25,0,25,180,0.139,20,"202405, 202406, 202407, 202408, 202409, 202410, 202412, 202501, 202503, 202504, 202505, 202506, 202507, 202508, 202509, 202510, 202511, 202512, 202601, 202602","2024-08, 2024-10, 2024-12, 2025-02, 2025-08, 2025-10, 2026-02"
920118,Ban Pho,Mueang Trang District,Trang,southwest,flashflood,25,0,25,180,0.139,15,"202403, 202404, 202405, 202406, 202407, 202409, 202410, 202411, 202412, 202505, 202506, 202507, 202508, 202509, 202512","2024-08, 2024-09, 2024-11, 2024-12, 2025-10, 2025-11, 2025-12"
930703,Tapaen,Si Banphot District,Phatthalung,southeast,flashflood,25,0,25,180,0.139,15,"202406, 202407, 202408, 202409, 202410, 202411, 202412, 202506, 202507, 202508, 202509, 202510, 202511, 202512, 202606","2024-11, 2024-12, 2025-11, 2025-12, 2026-11"
950106,Yala,Mueang Yala District,Yala,southeast,flashflood,25,0,25,180,0.139,14,"202401, 202407, 202408, 202409, 202410, 202411, 202412, 202501, 202507, 202508, 202509, 202510, 202511, 202512","2024-01, 2024-12, 2025-01, 2025-02, 2025-11, 2025-12, 2026-01"
950110,Na Tham,Mueang Yala District,Yala,southeast,flashflood,25,0,25,180,0.139,14,"202401, 202407, 202408, 202409, 202410, 202411, 202412, 202501, 202507, 202508, 202509, 202510, 202511, 202512","2024-01, 2024-12, 2025-01, 2025-02, 2025-11, 2025-12, 2026-01"
950114,Phron,Mueang Yala District,Yala,southeast,flashflood,25,0,25,180,0.139,14,"202401, 202407, 202408, 202409, 202410, 202411, 202412, 202501, 202507, 202508, 202509, 202510, 202511, 202512","2024-01, 2024-12, 2025-01, 2025-02, 2025-11, 2025-12, 2026-01"
950502,La-Ae,Yaha District,Yala,southeast,flashflood,25,0,25,180,0.139,14,"202401, 202407, 202408, 202409, 202410, 202411, 202412, 202501, 202507, 202508, 202509, 202510, 202511, 202512","2024-01, 2024-12, 2025-01, 2025-02, 2025-11, 2025-12, 2026-01"
190213,Cham Phak Phaeo,Kaeng Khoi District,Saraburi,Central,flashflood,24,0,24,180,0.133,16,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202503, 202504, 202505, 202506, 202508, 202603, 202604, 202605, 202606","2024-08, 2024-09, 2025-08, 2025-09, 2026-08, 2026-09"
