GEOCODE,TAMBON_E,AMPHOE_E,PROV_E,REGION_E,N_YEARS_FLOODED,P_HIST,FC_PROP,P_EVENT,AFF_HH_MEAN,SEV_IDX,HAZARD_SCORE,HAZARD_GRADE,LAT,LONG
950616,Talo Halo,Raman District,Yala,southeast,5,0.935960591,0.097222222,0.828336563,684,0.491692016,61.7811519,5,6.479,101.485
950604,Koto Tuera,Raman District,Yala,southeast,5,0.935960591,0.083333333,0.820388943,724,0.505864716,61.76973816,5,6.5,101.389
841205,Tha Chi,Ban Na San District,Surat Thani,southeast,3,0.619255336,0.066666667,0.655857669,2205,0.882814387,61.74291271,5,8.756,99.275
801408,Khao Noi,Sichon District,Nakhon Si Thammarat,southeast,5,0.914503079,0.122222222,0.805805533,801,0.532085426,61.72814569,5,8.945,99.787
950615,A Song,Raman District,Yala,southeast,5,0.935960591,0.091666667,0.82519147,693.5,0.495094769,61.68697254,5,6.52,101.451
961204,Chang Phueak,Chanae District,Narathiwat,southeast,4,0.834879406,0.1,0.897405927,396,0.374121527,61.65724014,5,5.997,101.573
960305,Bare Nuea,Bacho District,Narathiwat,southeast,5,0.977736549,0.138888889,0.928090269,305.5,0.328602386,61.65314726,5,6.571,101.613
960204,Sala Mai,Tak Bai District,Narathiwat,southeast,5,0.977736549,0.15,0.93096683,297,0.323998746,61.62994579,5,6.282,102.008
560801,Phu Sang,Phu Sang District,Phayao,North,3,0.614045618,0.127777778,0.615561762,4793,1,61.55617618,5,19.671,100.378
640713,Mueang Bang Khlang,Sawankhalok District,Sukhothai,North,4,0.793070717,0.166666667,0.81703856,724,0.505864716,61.51747698,5,17.242,99.71
900305,Na Wa,Chanae District,Songkhla,southeast,3,0.632920885,0.069444444,0.644431456,2337,0.908854708,61.50630093,5,6.896,100.655
501805,Sop Khong,Omkoi District,Chiang Mai,North,5,0.883753501,0.072222222,0.614058072,4327.5,1,61.40580722,5,17.654,98.217
900711,Ban Khao,Ranot District,Songkhla,southeast,5,0.918635171,0.116666667,0.777620169,940,0.576406716,61.29228283,5,7.797,100.2325
950110,Na Tham,Mueang Yala District,Yala,southeast,4,0.793103448,0.069444444,0.773610864,960,0.582506427,61.21220824,5,6.525,101.225
501801,Omkoi,Omkoi District,Chiang Mai,North,5,0.883753501,0.069444444,0.611452728,7103.5,1,61.14527283,5,17.915,98.335
802303,Suan Luang,Chaloem Phra Kiat District,Nakhon Si Thammarat,southeast,5,0.914503079,0.183333333,0.840846186,571.5,0.449441553,60.93787007,5,8.139,100.037
900702,Khlong Daen,Ranot District,Songkhla,southeast,5,0.918635171,0.122222222,0.781394411,885,0.559289596,60.92100878,5,7.912,100.319
961103,To Deng,Su-ngai Padi District,Narathiwat,southeast,4,0.834879406,0.044444444,0.875352014,433.5,0.391435001,60.89977151,5,6.116,101.849
950613,Yata,Raman District,Yala,southeast,4,0.793103448,0.113888889,0.802895445,730,0.507956515,60.53657086,5,6.426,101.407
941003,Prachan,Yarang District,Pattani,southeast,4,0.754924579,0.138888889,0.687363685,1630,0.759029941,60.45466514,5,6.797,101.289
950112,Po Seng,Mueang Yala District,Yala,southeast,5,0.935960591,0.138888889,0.850506675,500,0.420387803,60.40246538,5,6.511,101.201
640102,Ban Suan,Mueang Sukhothai District,Sukhothai,North,5,0.93592786,0.4,0.934256181,242,0.292464251,60.37463575,5,17.045,99.903
860304,Chum Kho,Pathio District,Chumphon,southeast,5,0.916067836,0.166666667,0.869207007,425.5,0.387806324,60.31454907,5,10.734,99.373
501208,Thung Satok,San Pa Tong District,Chiang Mai,North,5,0.883753501,0.144444444,0.679151893,1695,0.774016033,60.24131733,5,18.586,98.849
570305,Huai So,Chiang Khong District,Chiangrai,North,4,0.744649079,0.108333333,0.659120352,1938,0.82764099,60.23176868,5,20.061,100.284
840211,Tha Uthae,Kanchanadit District,Surat Thani,southeast,5,0.904969621,0.1,0.776813135,858,0.550691977,60.22989482,5,9.113,99.639
650404,Wang I Thok,Bang Rakam District,Phitsanu Lok,North,4,0.768049155,0.261111111,0.798909974,728,0.507260207,60.20826065,5,16.665,100.164
860707,Khron,Sawi District,Chumphon,southeast,5,0.916067836,0.122222222,0.847908304,498.5,0.419756748,60.19117681,5,10.311,99.063
960904,Phu Khao Thong,Sukhirin District,Narathiwat,southeast,5,0.977736549,0.080555556,0.911100114,281,0.315150692,59.9116973,5,5.796,101.7
801306,Khuan Chum,Ron Phibun District,Nakhon Si Thammarat,southeast,5,0.914503079,0.133333333,0.812585975,636,0.474125881,59.8927008,5,8.183,99.919
860803,Tako,Thung Tako District,Chumphon,southeast,4,0.773210693,0.108333333,0.806607861,661,0.483354577,59.8242731,5,10.056,98.974
650410,Tha Nang Ngam,Bang Rakam District,Phitsanu Lok,North,4,0.768049155,0.272222222,0.805873176,655,0.481155833,59.68118779,5,16.81,100.114
860112,Ban Na,Mueang Chumphon District,Chumphon,southeast,5,0.916067836,0.133333333,0.853485985,443,0.395700836,59.56055516,5,10.437,98.952
860405,Na Phaya,Lang Suan District,Chumphon,southeast,5,0.916067836,0.211111111,0.887917337,329,0.341006812,59.53515985,5,9.872,99.12
960903,Kia,Sukhirin District,Narathiwat,southeast,5,0.977736549,0.080555556,0.911100114,263,0.304889859,59.44426499,5,5.984,101.775
500207,Doi Kaeo,Chom Thong District,Chiang Mai,North,5,0.883753501,0.108333333,0.647288073,1962.5,0.832856037,59.31929258,5,18.39,98.576
630404,Mae Tuen,Mae Ramat District,Tak,North,5,0.948979592,0.088888889,0.854425387,421,0.385750194,59.20100727,5,17.194,98.566
900210,Bo Daeng,Sathing Phra District,Songkhla,southeast,2,0.490063742,0.072222222,0.591545462,7669,1,59.15454625,5,7.406,100.454
640610,Thap Phueng,Si Samrong District,Sukhothai,North,5,0.93592786,0.283333333,0.899604162,276,0.312334276,59.02906879,5,17.084,99.83
901005,Thung Mo,Sadao District,Songkhla,southeast,4,0.775778028,0.038888889,0.670212226,1620,0.756698046,58.86802543,5,6.745,100.378
961105,Ri Ko,Su-ngai Padi District,Narathiwat,southeast,5,0.977736549,0.144444444,0.929542115,197,0.263874983,58.74125126,5,6.057,101.845
840213,Khlong Sa,Kanchanadit District,Surat Thani,southeast,5,0.904969621,0.1,0.776813135,722,0.505165524,58.46161751,5,8.976,99.626
530708,Ban Khon,Phichai District,Auttaradit,North,4,0.735303076,0.327777778,0.770500337,755,0.516581181,58.42631554,5,17.208,100.138
900311,Khu,Chanae District,Songkhla,southeast,3,0.632920885,0.066666667,0.641911582,1900,0.819486693,58.39747909,5,6.842,100.695
940109,Paka Harang,Mueang Pattani District,Pattani,southeast,4,0.754924579,0.144444444,0.692063159,1337.5,0.687562213,58.3949818,5,6.833,101.232
501806,Na Kian,Omkoi District,Chiang Mai,North,5,0.883753501,0.086111111,0.626984422,2090,0.859484894,58.29340309,5,17.864,98.156
640403,Krai Nok,Kong Krailat District,Sukhothai,North,4,0.793070717,0.277777778,0.873868207,310.5,0.331280526,58.16818635,5,16.907,100.083
950601,Kayu Boko,Raman District,Yala,southeast,5,0.935960591,0.111111111,0.836002809,432,0.390757191,58.13384591,5,6.476,101.413
840406,Bo Phut,Ko Samui District,Surat Thani,southeast,2,0.476398193,0.044444444,0.579757482,5635,1,57.97574822,5,9.533,100.06
801406,Si Khit,Sichon District,Nakhon Si Thammarat,southeast,5,0.914503079,0.183333333,0.840846186,403.5,0.377647727,57.91949181,5,9.023,99.786
730609,Tha Talat,Sam Phran District,Nakhon Prathom,Central,5,0.923629829,0.127777778,0.77061613,704.5,0.499005812,57.75790287,5,13.751,100.234
801502,Khuan Thong,Khanom District,Nakhon Si Thammarat,southeast,5,0.914503079,0.205555556,0.852252222,350.5,0.351972811,57.61109161,5,9.181,99.782
141208,Ban Pho,Sena District,Phra Nakhon Si Ayudhya,Central,4,0.760628845,0.3,0.807482085,514,0.426232601,57.5828637,5,14.351,100.394
140806,Tha Din Daeng,Phak Hai District,Phra Nakhon Si Ayudhya,Central,4,0.760628845,0.35,0.836356923,401,0.376475997,57.56126144,5,14.416,100.388
570303,Khrueng,Chiang Khong District,Chiangrai,North,3,0.601791936,0.077777778,0.575255569,2843,1,57.52555695,5,20.058,100.402
501504,Nong Tong,Hang Dong District,Chiang Mai,North,3,0.598039216,0.15,0.574758322,3147,1,57.47583216,5,18.613,98.945
640104,Mueang Kao,Mueang Sukhothai District,Sukhothai,North,5,0.93592786,0.288888889,0.901570143,212.5,0.274059318,57.43269204,5,17.043,99.824
950602,Kalupang,Raman District,Yala,southeast,5,0.935960591,0.086111111,0.822001137,442.5,0.395477466,57.3542032,5,6.464,101.374
900902,Tha Chamuang,Rattaphum District,Songkhla,southeast,4,0.775778028,0.072222222,0.698655257,1165,0.641694132,57.34891178,5,7.132,100.106
860703,Thung Raya,Sawi District,Chumphon,southeast,5,0.916067836,0.155555556,0.86413254,302,0.326714626,57.32286395,5,10.277,98.945
501214,Nam Bo Luang,San Pa Tong District,Chiang Mai,North,4,0.740896359,0.088888889,0.573221978,5190,1,57.32219776,5,18.674,98.841
960806,Erawan,Waeng District,Narathiwat,southeast,4,0.834879406,0.144444444,0.912488453,183.5,0.254673138,57.24373754,5,5.973,101.842
560116,Tha Champi,Mueang Phayao District,Phayao,North,3,0.614045618,0.080555556,0.570550078,3047,1,57.05500784,5,19.245,99.815
500307,Pang Hin Fon,Mae Chaem District,Chiang Mai,North,4,0.740896359,0.086111111,0.570533765,3274.5,1,57.0533765,5,18.451,98.136
960905,Rom Sai,Sukhirin District,Narathiwat,southeast,4,0.834879406,0.052777778,0.878901845,245.5,0.294571586,56.89006776,5,6.048,101.759
960201,Che He,Tak Bai District,Narathiwat,southeast,4,0.834879406,0.094444444,0.895366425,207,0.270489417,56.8776784,5,6.257,102.051
640608,Wat Ko,Si Samrong District,Sukhothai,North,5,0.93592786,0.266666667,0.893495626,211,0.273090337,56.87503237,5,17.188,99.827
910502,La-Ngu,La-ngu District,Satun,southwest,5,0.87755102,0.205555556,0.758692154,702,0.498119635,56.83058062,5,6.842,99.826
630403,Khane Chue,Mae Ramat District,Tak,North,5,0.948979592,0.066666667,0.843156242,339.5,0.346405672,56.76151736,5,17.055,98.541
900307,Nam Khao,Chanae District,Songkhla,southeast,4,0.775778028,0.027777778,0.660433346,1459,0.718112938,56.73495377,5,6.805,100.609
900804,Krasae Sin,Krasae Sin District,Songkhla,southeast,3,0.632920885,0.083333333,0.656908901,1482,0.72375105,56.61737041,5,7.589666667,100.3233333
502001,Mueang Haeng,Wiang Haeng District,Chiang Mai,North,4,0.740896359,0.080555556,0.565144992,4610.5,1,56.5144992,5,19.515,98.639
900205,Chumphon,Sathing Phra District,Songkhla,southeast,2,0.490063742,0.044444444,0.564773967,10468,1,56.47739674,5,7.603,100.385
640714,Nong Klap,Sawankhalok District,Sukhothai,North,4,0.793070717,0.355555556,0.904048156,176,0.249414351,56.47653705,5,17.245,99.782
802301,Chian Khao,Chaloem Phra Kiat District,Nakhon Si Thammarat,southeast,5,0.914503079,0.183333333,0.840846186,333,0.343073539,56.4659131,5,8.184,100.078
900704,Tha Bon,Ranot District,Songkhla,southeast,5,0.918635171,0.116666667,0.777620169,578,0.451990206,56.45484347,5,7.842,100.342
801403,Chalong,Sichon District,Nakhon Si Thammarat,southeast,5,0.914503079,0.144444444,0.819182795,404,0.377881637,56.43684655,5,8.89,99.773
940201,Khok Pho,Khok Pho District,Pattani,southeast,4,0.754924579,0.122222222,0.67303501,1296,0.676811308,56.42763577,5,6.732,101.061
950502,La-Ae,Yaha District,Yala,southeast,5,0.935960591,0.069444444,0.812156809,425.5,0.387806324,56.35581781,5,6.466,101.186
630702,Chong Khaep,Phop Phra District,Tak,North,5,0.948979592,0.272222222,0.92374874,136,0.219247454,56.31391499,5,16.512,98.749
640408,Kok Raet,Kong Krailat District,Sukhothai,North,4,0.793070717,0.255555556,0.863864353,260,0.303145956,56.28706692,5,17.005,100.027
950301,Bannang Sata,Bannang Sata District,Yala,southeast,4,0.793103448,0.069444444,0.773610864,579,0.452381032,56.17888727,5,6.25,101.233
630703,Khiri Rat,Phop Phra District,Tak,North,5,0.948979592,0.136111111,0.876142469,224,0.281377337,56.13345515,5,16.537,98.845
140801,Phak Hai,Phak Hai District,Phra Nakhon Si Ayudhya,Central,4,0.760628845,0.344444444,0.833329206,340,0.346660663,56.11058309,5,14.462,100.379
801409,Thung Sai,Sichon District,Nakhon Si Thammarat,southeast,5,0.914503079,0.122222222,0.805805533,433,0.391209195,56.05220336,5,9.06,99.89
500803,Mae Sap,Samoeng District,Chiang Mai,North,4,0.740896359,0.127777778,0.610336284,1975,0.835504234,56.01374169,5,18.945,98.641
901506,Chalae,Singhanakhon District,Songkhla,southeast,4,0.775778028,0.094444444,0.716819744,896,0.562754673,56.01067022,5,7.308,100.441
850405,Lamliang,Kra Buri District,Ranong,southwest,4,0.696598639,0.183333333,0.728484408,805.5,0.533577954,55.85938143,5,10.287,98.842
860403,Tha Maphla,Lang Suan District,Chumphon,southeast,5,0.916067836,0.161111111,0.866690203,234,0.287589505,55.7970605,5,9.929,99.045
500804,Bo Kaeo,Samoeng District,Chiang Mai,North,4,0.740896359,0.097222222,0.581260099,2384,0.917948319,55.74134148,5,18.791,98.604
860413,Hat Yai,Lang Suan District,Chumphon,southeast,5,0.916067836,0.105555556,0.839216529,304,0.327794677,55.71536198,5,9.96,98.956
501004,Mae Na Wang,Mae Ai District,Chiang Mai,North,5,0.883753501,0.111111111,0.649790753,1441.5,0.713793237,55.68034991,5,19.98,99.382
640302,Thung Luang,Khiri Mat District,Sukhothai,North,5,0.93592786,0.405555556,0.935592178,101,0.188940818,55.6181865,5,16.877,99.774
630705,Ruam Thai Phatthana,Phop Phra District,Tak,North,5,0.948979592,0.222222222,0.908609183,140,0.222448316,55.5363883,5,16.44,98.786
840205,Krut,Kanchanadit District,Surat Thani,southeast,4,0.762112479,0.05,0.693021232,1027,0.602490672,55.52800295,5,9.103,99.549
900302,Pa Ching,Chanae District,Songkhla,southeast,3,0.632920885,0.066666667,0.641911582,1500,0.728133034,55.46543051,5,6.939,100.686
940211,Tha Ruea,Khok Pho District,Pattani,southeast,4,0.754924579,0.133333333,0.682625382,1096,0.622401144,55.37461006,5,6.78,101.053
800613,Mae Chao Yu Hua,Chian Yai District,Nakhon Si Thammarat,southeast,5,0.914503079,0.2,0.849465666,255,0.300216941,55.22448249,5,8.075,100.094
630402,Mae Charao,Mae Ramat District,Tak,North,5,0.948979592,0.058333333,0.83875082,283,0.316270236,55.20113698,5,16.947,98.591
860107,Tak Daet,Mueang Chumphon District,Chumphon,southeast,5,0.916067836,0.088888889,0.830127548,306,0.328871181,55.15662876,5,10.467,99.153
801305,Khuan Phang,Ron Phibun District,Nakhon Si Thammarat,southeast,4,0.771645936,0.216666667,0.826500063,312,0.332079757,55.04820012,5,8.159,99.977
