GEOCODE,TAMBON_E,AMPHOE_E,PROV_E,REGION_E,N_YEARS_FLOODED,P_HIST,FC_PROP,P_EVENT,AFF_HH_MEAN,SEV_IDX,HAZARD_SCORE,HAZARD_GRADE,LAT,LONG
102503,Bang Bamru,Bang Phlat District,Bangkok,Central,0.0,0.03821428571428571,0.03333333333333333,0.04130761888152131,0.0,0.0,2.0653809440760655,1,13.781,100.482
102504,Bang Yi Khan,Bang Phlat District,Bangkok,Central,1.0,0.18107142857142858,0.03333333333333333,0.051698142715291606,54.0,0.1381535296709038,2.942021180441963,1,13.774,100.492
102601,Din Daeng,Din Daeng District,Bangkok,Central,2.0,0.32392857142857145,0.03888888888888889,0.06586466878601506,1.0,0.018800314103231682,3.3551472623748726,1,13.778,100.567
102701,Khlong Kum,Bueng Kum District,Bangkok,Central,1.0,0.18107142857142858,0.0,0.04560725696606179,54.0,0.1381535296709038,2.5954030247265574,1,13.808,100.65
102801,Thung Wat Don,Sathon District,Bangkok,Central,1.0,0.18107142857142858,0.0,0.04560725696606179,54.0,0.1381535296709038,2.5954030247265574,1,13.71,100.532
102802,Yan Nawa,Sathon District,Bangkok,Central,1.0,0.18107142857142858,0.0,0.04560725696606179,54.0,0.1381535296709038,2.5954030247265574,1,13.714,100.514
102803,Thung Mahamek,Sathon District,Bangkok,Central,1.0,0.18107142857142858,0.0,0.04560725696606179,54.0,0.1381535296709038,2.5954030247265574,1,13.718,100.541
102901,Bang Sue,Bang Sue District,Bangkok,Central,3.0,0.4667857142857143,0.03888888888888889,0.08190454564046724,1.0,0.018800314103231682,4.172218841249525,1,13.82,100.529
103001,Lat Yao,Chatuchak District,Bangkok,Central,0.0,0.03821428571428571,0.03888888888888889,0.042186059274751955,0.0,0.0,2.1093029637375977,1,13.826,100.565
103002,Sena Nikhom,Chatuchak District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,,
103003,Chantharakasem,Chatuchak District,Bangkok,Central,2.0,0.32392857142857145,0.07222222222222222,0.07444990681543903,1.0,0.018800314103231682,3.7924794224262803,1,,
103004,Chomphon,Chatuchak District,Bangkok,Central,0.0,0.03821428571428571,0.03333333333333333,0.04130761888152131,0.0,0.0,2.0653809440760655,1,,
103005,Chatuchak,Chatuchak District,Bangkok,Central,1.0,0.18107142857142858,0.03333333333333333,0.051698142715291606,1.0,0.018800314103231682,2.633504201844639,1,,
103101,Bang Kho Laem,Bang Kho Laem District,Bangkok,Central,2.0,0.32392857142857145,0.0,0.05701499188856898,54.0,0.1381535296709038,3.244590713106637,1,13.696,100.494
103102,Wat Phraya Krai,Bang Kho Laem District,Bangkok,Central,0.0,0.03821428571428571,0.03888888888888889,0.042186059274751955,0.0,0.0,2.1093029637375977,1,13.706,100.508
103103,Bang Khlo,Bang Kho Laem District,Bangkok,Central,1.0,0.18107142857142858,0.0,0.04560725696606179,54.0,0.1381535296709038,2.5954030247265574,1,13.694,100.516
103201,Prawet,Prawet District,Bangkok,Central,1.0,0.18107142857142858,0.016666666666666666,0.048562160685566756,54.0,0.1381535296709038,2.76355972963617,1,13.719,100.664
103202,Nong Bon,Prawet District,Bangkok,Central,1.0,0.18107142857142858,0.022222222222222223,0.04958689528486786,54.0,0.1381535296709038,2.821874994694692,1,13.687,100.656
103203,Dokmai,Prawet District,Bangkok,Central,1.0,0.18107142857142858,0.022222222222222223,0.04958689528486786,54.0,0.1381535296709038,2.821874994694692,1,13.68,100.689
103301,Khlong Toei,Khlong Toei District,Bangkok,Central,2.0,0.32392857142857145,0.0,0.05701499188856898,1.0,0.018800314103231682,2.904344582233364,1,13.71,100.57
103302,Khlong Tan,Khlong Toei District,Bangkok,Central,1.0,0.18107142857142858,0.0,0.04560725696606179,1.0,0.018800314103231682,2.323234386120528,1,13.723,100.571
